PANNEAU,DEP,Voix,REG
1,51,3,44
1,52,0,44
1,53,8,52
1,54,3,44
1,55,0,44
1,56,31,53
1,57,4,44
1,58,18,27
1,59,17,32
1,60,12,32
1,61,0,28
1,62,2,32
1,63,0,84
1,64,1,75
1,65,1,76
1,66,1,76
1,67,0,44
1,68,44,44
1,69,9,84
1,70,1,27
1,71,0,27
1,72,98,52
1,73,0,84
1,74,1,84
1,75,9,11
1,76,74,28
1,77,19,11
1,78,5,11
1,79,0,75
1,80,0,32
1,81,0,76
1,82,3,76
1,83,1,93
1,84,18,93
1,85,27,52
1,86,1,75
1,87,0,75
1,88,0,44
1,89,0,27
1,90,0,27
1,91,1,11
1,92,173,11
1,93,38,11
1,01,1,84
1,02,3,32
1,03,1,84
1,04,0,93
1,05,0,93
1,06,71,93
1,07,1,84
1,08,2,44
1,09,0,76
1,10,0,44
1,11,0,76
1,12,0,76
1,13,8,93
1,14,4,28
1,15,0,84
1,16,0,75
1,17,1,75
1,18,40,24
1,19,0,75
1,21,2,27
1,22,24,53
1,23,0,75
1,24,0,75
1,25,9,27
1,26,1,84
1,27,1,28
1,28,0,24
1,29,36,53
1,2A,5,94
1,2B,0,94
1,30,2,76
1,31,1,76
1,32,0,76
1,33,4,75
1,34,26,76
1,35,1,53
1,36,0,24
1,37,5,24
1,38,3,84
1,39,0,27
1,40,4,75
1,41,2,24
1,42,11,84
1,43,1,84
1,44,22,52
1,45,1,24
1,46,1,76
1,47,0,75
1,48,0,76
1,49,1,52
1,50,1,28
1,51,6,44
1,93,8,11
1,94,17,11
1,95,12,11
2,44,43,52
2,45,11,24
2,46,6,76
2,47,5,75
2,48,1,76
2,49,19,52
2,50,4,28
2,51,16,44
2,52,0,44
2,53,0,52
2,54,13,44
2,55,3,44
2,56,38,53
2,57,8,44
2,58,15,27
2,59,43,32
2,60,7,32
2,61,4,28
2,62,24,32
2,63,5,84
2,64,3,75
2,65,3,76
2,66,3,76
2,67,9,44
2,68,16,44
2,69,22,84
2,70,1,27
2,71,9,27
2,72,39,52
2,73,22,84
2,74,38,84
2,75,23,11
2,76,50,28
2,77,26,11
2,78,41,11
2,79,2,75
2,80,6,32
2,81,6,76
2,82,3,76
2,83,12,93
2,84,11,93
2,85,9,52
2,86,2,75
2,01,8,84
2,02,9,32
2,03,8,84
2,04,1,93
2,05,2,93
2,06,52,93
2,07,14,84
2,08,2,44
2,09,4,76
2,10,4,44
2,11,32,76
2,12,18,76
2,13,30,93
2,14,10,28
2,15,2,84
2,16,2,75
2,17,3,75
2,18,24,24
2,19,3,75
2,21,3,27
2,22,13,53
2,23,1,75
2,24,21,75
2,25,9,27
2,26,7,84
2,27,1,28
2,28,1,24
2,29,70,53
2,2A,28,94
2,2B,0,94
2,30,9,76
2,31,14,76
2,32,2,76
2,33,25,75
2,34,21,76
2,35,18,53
2,36,5,24
2,37,7,24
2,38,11,84
2,39,2,27
2,40,20,75
2,41,0,24
2,42,16,84
2,43,5,84
2,44,0,52
2,86,0,75
2,87,3,75
2,88,9,44
2,89,11,27
2,90,14,27
2,91,46,11
2,92,92,11
2,93,36,11
2,94,20,11
2,95,16,11
3,35,1551,53
3,36,4449,24
3,37,11882,24
3,38,24876,84
3,39,5453,27
3,40,9459,75
3,41,7368,24
3,42,15649,84
3,43,5416,84
3,44,25371,52
3,45,12807,24
3,46,3562,76
3,47,7816,75
3,48,1889,76
3,49,13197,52
3,50,8757,28
3,51,10130,44
3,52,3502,44
3,53,4973,52
3,54,12106,44
3,55,4011,44
3,56,16311,53
3,57,19209,44
3,58,4263,27
3,59,40497,32
3,60,15578,32
3,61,5644,28
3,62,22972,32
3,63,11537,84
3,64,15145,75
3,65,4649,76
3,66,12101,76
3,67,24526,44
3,68,16901,44
3,69,40651,84
3,70,5345,27
3,71,11457,27
3,72,9751,52
3,73,10109,84
3,74,19104,84
3,75,48301,11
3,76,19944,28
3,77,23560,11
3,78,37168,11
3,79,1078,75
3,01,14201,84
3,02,9152,32
3,03,7004,84
3,04,4174,93
3,05,3695,93
3,06,37783,93
3,07,8338,84
3,08,4764,44
3,09,3091,76
3,10,6008,44
3,11,8929,76
3,12,6408,76
3,13,49476,93
3,14,13037,28
3,15,2991,84
3,16,6104,75
3,17,15165,75
3,18,6458,24
3,19,4639,75
3,21,11256,27
3,22,11498,53
3,23,2209,75
3,24,9247,75
3,25,9942,27
3,26,12398,84
3,27,10920,28
3,28,8372,24
3,29,15771,53
3,2A,4294,94
3,2B,4525,94
3,30,18409,76
3,31,26635,76
3,32,4637,76
3,33,32708,75
3,34,28236,76
3,35,15591,53
3,79,4902,75
3,80,9186,32
3,81,8831,76
3,82,6471,76
3,83,38658,93
3,84,16462,93
3,85,16240,52
3,86,6985,75
3,87,6164,75
3,88,7603,44
3,89,6664,27
3,90,2767,27
3,91,20365,11
3,92,37035,11
3,93,13013,11
3,94,24525,11
3,95,18769,11
4,31,44003,76
4,32,4457,76
4,33,53266,75
4,34,50868,76
4,35,37982,53
4,36,4410,24
4,37,19303,24
4,38,52145,84
