REG,PANNEAU,Voix
1,1,149
1,2,1
1,3,1294
1,4,5813
1,5,11660
1,6,1925
1,7,2
1,8,24
1,9,6
1,10,7
1,11,5376
1,12,0
1,13,6
1,14,7
1,15,817
1,16,5
1,17,9
1,18,1173
1,19,2162
1,20,3
1,21,2
1,22,0
1,23,3
1,24,574
1,25,5
1,26,33
1,27,5527
1,28,13
1,29,437
1,30,37
1,31,0
1,32,8
1,33,524
1,34,54
1,35,1071
1,36,8
1,37,2
1,38,68
2,1,5
2,2,2
2,3,1550
2,4,6368
2,5,6149
2,6,1992
2,7,11
2,8,15
2,9,1
2,10,62
2,11,5883
2,12,35
2,13,12
2,14,4
2,15,1217
2,16,7
2,17,8
2,18,1503
2,19,1001
2,20,17
2,21,1
2,22,1
2,23,4
2,24,578
2,25,11
2,26,24
2,27,5477
2,28,19
2,29,435
2,30,19
2,31,4
2,32,6
2,33,590
2,34,28
2,35,1016
2,36,8
2,37,93
2,38,31
3,1,3
3,2,4
3,3,507
3,4,1774
3,5,2465
3,6,837
3,7,0
3,8,19
3,9,1
3,10,11
3,11,1010
3,12,3
3,13,8
3,14,6
3,15,370
3,16,4
3,17,1
3,18,402
3,19,157
3,20,6
3,21,1
3,22,5
3,23,8
3,24,186
3,25,2
3,26,1
3,27,1048
3,28,1
3,29,164
3,30,12
3,31,70
3,32,0
3,33,146
3,34,12
3,35,230
3,36,3
3,37,17
3,38,127
4,1,2
4,2,4
4,3,9727
4,4,34797
4,5,54317
4,6,8487
4,7,8
4,8,3083
4,9,9
4,10,27
4,11,15323
4,12,21
4,13,41
4,14,21
4,15,4495
4,16,30
4,17,9
4,18,8637
4,19,1699
4,20,13
4,21,10
4,22,3
4,23,4
4,24,3041
4,25,14
4,26,28
4,27,17425
4,28,38
4,29,1793
4,30,178
4,31,808
4,32,36
4,33,3799
4,34,27
4,35,3086
4,36,20
4,37,248
4,38,6
6,1,12
6,2,2
6,3,898
6,4,1845
6,5,9525
6,6,395
6,7,8
6,8,6
6,9,0
6,10,12
6,11,1169
6,12,1
6,13,1
6,14,3
6,15,228
6,16,4
6,17,6
6,18,2416
6,19,146
6,20,2
6,21,4
6,22,0
6,23,0
6,24,274
6,25,6
6,26,0
6,27,460
6,28,4
6,29,218
6,30,4
6,31,5
6,32,1
6,33,179
6,34,4
6,35,324
6,36,8
6,37,0
6,38,1
11,1,282
11,2,300
11,3,222736
11,4,726713
