DEP,Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimés,REG
01,449217,204957,244260,3351,3386,237523,84
02,373728,183978,189750,2912,3149,183689,32
03,249428,110595,138833,2811,4252,131770,84
04,129172,54727,74445,1026,1082,72337,93
05,115059,48128,66931,991,1012,64928,93
06,789750,367638,422112,4134,4626,413352,93
07,259237,108735,150502,2408,2438,145656,84
08,186869,92419,94450,1350,1992,91108,44
09,120494,50815,69679,1087,1606,66986,76
10,203935,94436,109499,1480,1562,106457,44
11,284974,122656,162318,2403,3182,156733,76
12,219776,89863,129913,2606,2832,124475,76
13,1439869,688985,750884,7104,7910,735870,93
14,516074,229868,286206,3581,4692,277933,28
15,114827,50266,64561,1457,1852,61252,84
16,260422,120329,140093,2300,3916,133877,75
17,524770,237496,287274,3765,4504,279005,75
18,223353,106677,116676,2254,1936,112486,24
19,185929,75341,110588,2074,3540,104974,75
21,368830,157642,211188,2790,2595,205803,27
22,474528,194470,280058,4191,6093,269774,53
23,90475,39115,51360,1151,1552,48657,75
24,322294,135171,187123,3076,6154,177893,75
25,370345,163752,206593,3054,2899,200640,27
26,387716,166373,221343,2908,3749,214686,84
27,436101,203720,232381,3468,3037,225876,28
28,306626,149626,157000,2317,2884,151799,24
29,715144,309076,406068,5359,5531,395178,53
2A,116592,65794,50798,416,579,49803,94
2B,132170,75385,56785,574,662,55549,94
30,564920,255353,309567,3598,3598,302371,76
31,952255,401044,551211,6210,5634,539367,76
32,148005,60020,87985,1487,1749,84749,76
33,1184414,524481,659933,7579,7517,644837,75
34,869675,392777,476898,5646,5472,465780,76
35,785704,338908,446796,6181,6950,433665,53
36,164960,76025,88935,1856,2418,84661,24
37,445603,207625,237978,3574,3767,230637,24
38,894174,385757,508417,5860,4651,497906,84
39,191201,82492,108709,1870,2321,104518,27
40,335675,145999,189676,3201,4464,182011,75
41,244880,111347,133533,2441,2921,128171,24
42,517926,239069,278857,3945,3587,271325,84
43,182507,78399,104108,2056,2217,99835,84
44,1073877,483359,590518,7645,6287,576586,52
45,462517,218559,243958,3400,3284,237274,24
46,140651,56372,84279,1352,2391,80536,76
47,243129,107040,136089,2169,3922,129998,75
48,60364,24100,36264,614,727,34923,76
49,597380,282348,315032,5716,7083,302233,52
50,383852,181138,202714,3621,3526,195567,28
51,149620,69127,80493,1075,1456,77962,44
51,232706,115453,117253,1359,2034,113860,44
52,128534,59320,69214,1260,1745,66209,44
53,226691,110703,115988,2665,2456,110867,52
54,496472,241636,254836,3033,3193,248610,44
55,135200,62439,72761,1162,1261,70338,44
56,616125,269799,346326,5090,4702,336534,53
57,754455,389657,364798,4816,4785,355197,44
58,153516,70539,82977,1378,1558,80041,27
59,1826377,908570,917807,11811,11633,894363,32
60,570663,277958,292705,4191,3920,284594,32
61,203868,94544,109324,2045,1855,105424,28
62,1101469,541056,560413,8569,9865,541979,32
63,473591,208467,265124,4484,5067,255573,84
64,530145,237078,293067,4488,4749,283830,75
65,176480,77459,99021,1602,1552,95867,76
66,372649,172373,200276,2431,4544,193301,76
67,793247,363119,430128,5634,5626,418868,44
68,537729,260069,277660,4451,3970,269239,44
69,1202546,511454,691092,6020,5125,679947,84
70,178083,73490,104593,1859,2698,100036,27
71,403552,183156,220396,3934,3672,212790,27
72,413251,204301,208950,4840,4635,199475,52
73,324844,140037,184807,2201,2162,180444,84
74,580929,269605,311324,3853,3331,304140,84
75,1378896,556140,822756,4072,4092,814592,11
76,880361,416293,464068,7897,5282,450889,28
77,921760,471248,450512,5660,4828,440024,11
78,984280,434497,549783,4958,4113,540712,11
79,275842,133007,142835,2907,2898,137030,75
80,409191,188038,221153,3953,4324,212876,32
81,301492,127771,173721,2817,3228,167676,76
82,191722,82806,108916,1679,2870,104367,76
83,830546,382154,448392,4369,5733,438290,93
84,417481,191539,225942,2692,3502,219748,93
85,560556,263346,297210,5338,5403,286469,52
86,307886,141927,165959,2806,3975,159178,75
87,264416,111285,153131,2720,4174,146237,75
88,276474,125295,151179,2931,2807,145441,44
89,237924,108885,129039,1925,2768,124346,27
90,93988,41916,52072,784,880,50408,27
91,813846,395207,418639,4779,4219,409641,11
92,1020846,428646,592200,6177,2835,583188,11
93,73801,43067,30734,438,389,29907,11
93,754367,426240,328127,3729,3325,321073,11
94,813863,385296,428567,4106,4075,420386,11
95,749696,387709,361987,4205,3416,354366,11
971,318903,276648,42255,1522,1928,38805,1
972,304698,267165,37533,1851,1495,34187,2
973,109017,98821,10196,318,257,9621,3
974,697195,513365,183830,5467,7049,171314,4
976,98087,78512,19575,747,657,18171,6
